12/03/2019 11:23:02 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:23:02 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:23:02 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:23:02 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:23:02 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:25:34 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:25:34 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:25:34 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:25:34 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:25:34 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:25:34 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:25:34 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:26:17 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:26:17 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:26:17 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:26:17 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:26:17 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:26:17 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:26:17 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:26:53 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:26:53 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:26:53 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:26:53 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:26:53 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:26:53 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:26:53 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:26:58 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:26:58 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:26:58 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:26:58 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:26:58 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:26:58 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:26:58 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:33:57 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:33:57 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
12/03/2019 11:33:57 PM - root - ERROR - TOPIC:Database Users; EVENT:Connection failed;
12/03/2019 11:33:57 PM - root - INFO - TOPIC:Database Users; EVENT:Connection closed;
12/03/2019 11:33:57 PM - root - INFO - TOPIC:Database Users; EVENT:Connection attemp;
12/03/2019 11:33:57 PM - root - INFO - TOPIC:Database Users; EVENT:Connection successful;
